throughput, loss, CPU host, CPU remote, streams, country, connection, client, IP, time, streams, verbose, json,,,
0,0.000008,2.5029,0.0004,1,Germany,Wireless,'-c,'134.209.227.237,'-t10,'-P1,'-V,'-J,'-O0,'-l8,'-w8
0,0,3.0837,0.0088,1,Germany,Wireless,'-c,'134.209.227.237,'-t10,'-P1,'-V,'-J,'-O0,'-l8,'-w8
0.25,0.129144,3.177,1.3489,1,Germany,Wireless,'-c,'134.209.227.237,'-t10,'-P1,'-V,'-J,'-O0,'-l8,
0,0,1.0322,0.0689,1,Germany,Wireless,'-c,'134.209.227.237,'-t10,'-P1,'-V,'-J,'-O0,'-l8,'-w8
0,0,1.1188,0.0835,1,Germany,Wireless,'-c,'134.209.227.237,'-t10,'-P1,'-V,'-J,'-O0,'-w8,
0.11,0.005552,4.4763,0.0301,1,Germany,Wireless,'-c,'134.209.227.237,'-t10,'-P1,'-V,'-J,'-O0,'-l8000,'-w8000
0.29,0.129684,3.6125,0.0585,1,Germany,Wireless,'-c,'134.209.227.237,'-t10,'-P1,'-V,'-J,'-O0,'-l8000,
0.1,0.004764,2.3224,0.0355,1,Germany,Wireless,'-c,'134.209.227.237,'-t10,'-P1,'-V,'-J,'-O0,'-l8000,'-w8000
0.23,0,2.2648,0.1053,1,Germany,Wireless,'-c,'134.209.227.237,'-t10,'-P1,'-V,'-J,'-O0,'-w8000,
45.44,0.443736,2.6363,0.0201,1,Germany,Wireless,'-c,'134.209.227.237,'-t10,'-P1,'-V,'-J,'-O-O,,
30.17,0.624952,1.8205,0.2669,1,Germany,Wireless,'-c,'134.209.227.237,'-t120,'-P1,'-V,'-J,'-O-O,,
29.92,0,1.6054,0.4545,1,Indonesia,Wireless,'-c,'iperf.biznetnetworks.com,'-t120,'-P1,'-V,'-J,'-O-O,,
8.36,0.740512,6.4952,0.0471,1,Indonesia,Wireless,'-c,'iperf.biznetnetworks.com,'-t10,'-P1,'-V,'-J,'-O-O,,
70.17,3.937008,10.4739,6.7155,10,Indonesia,Wireless,'-c,'iperf.biznetnetworks.com,'-t10,'-P10,'-V,'-J,'-O-O,,
80.61,3.067512,12.243,8.3088,20,Indonesia,Wireless,'-c,'iperf.biznetnetworks.com,'-t10,'-P20,'-V,'-J,'-O-O,,
80.39,10.777392,10.4629,8.6017,30,Indonesia,Wireless,'-c,'iperf.biznetnetworks.com,'-t10,'-P30,'-V,'-J,'-O-O,,
